+--------------------------------------+--------------------+--------------------------------------+-------------------+-------+-------+---------------------------+
| ID                                   | Agent Type         | Host                                 | Availability Zone | Alive | State | Binary                    |
| 98a129f8-aa06-4f1c-8d1b-df8508c9677d | Baremetal Node     | 3b1b5995-a798-48ff-b329-20fc4dd5942c | None              | XXX   | UP    | ironic-neutron-agent      |
| 9c8ba817-37a8-4426-b277-bba6bd16a6e0 | Baremetal Node     | 8a707cf8-c075-4c07-912b-17dc5424fd12 | None              | XXX   | UP    | ironic-neutron-agent      |
| 9f658877-0991-4eaf-a278-1eba523adb62 | Baremetal Node     | ab42ae9f-6984-4fa9-9aac-993d1ca6ad76 | None              | XXX   | UP    | ironic-neutron-agent      |
| a0ba7fd8-8f75-48fe-8eb0-17f50c38826f | Baremetal Node     | 3e7fdb44-27f8-4c43-8ff2-e6e3f17450fb | None              | XXX   | UP    | ironic-neutron-agent      |
| a26803d5-f9d5-4e23-b023-90535b9ba6e3 | Baremetal Node     | 408aa346-c6b6-4b1d-84ba-be5f3997db71 | None              | XXX   | UP    | ironic-neutron-agent      |
| a693349f-86f9-4573-89b3-385a71caa934 | Baremetal Node     | 3d5206a3-465a-4308-a4e2-5db40eaf4fd3 | None              | XXX   | UP    | ironic-neutron-agent      |
| a6ae2587-818b-4603-82c7-ead6c58f29d0 | Baremetal Node     | a5e11e36-7f2f-4e2c-a17f-a3108f4e28ba | None              | XXX   | UP    | ironic-neutron-agent      |
| a6d95ae9-d1fa-4a61-a049-9c12a58fdd27 | Baremetal Node     | 2f6785be-89cb-4a59-91ec-147628ae692f | None              | XXX   | UP    | ironic-neutron-agent      |
| a738595a-7abe-49ae-9c83-82d1b2f2da90 | Baremetal Node     | 5e3c555c-5859-48e0-9cd8-d1f06c660e6e | None              | XXX   | UP    | ironic-neutron-agent      |
| a8759c6d-237b-4de3-8a2d-9ae0cd5c474a | Baremetal Node     | 53f9ed0a-570a-4c97-89c8-4779052e1f04 | None              | XXX   | UP    | ironic-neutron-agent      |
| aa24bfdb-b116-47cf-9e0e-864195bcc70d | Baremetal Node     | d9240833-b941-43b7-8027-fb5a30ef3954 | None              | XXX   | UP    | ironic-neutron-agent      |
| aa7593a9-124b-4da0-a357-a4bf1f7c864d | Baremetal Node     | d40612f3-aa63-4620-9671-499344b23924 | None              | XXX   | UP    | ironic-neutron-agent      |
| add0210a-4286-4ba0-9290-7f48c5c32d6e | Baremetal Node     | a56ee36c-1ba5-4947-951f-192b81b361b8 | None              | XXX   | UP    | ironic-neutron-agent      |
| b0769e9f-3111-4d36-965c-ffb355a6dbc7 | Baremetal Node     | 8e1a705b-7651-40bc-bf34-42b608d35a72 | None              | XXX   | UP    | ironic-neutron-agent      |
| b18a1673-f631-4e55-a1bd-a4bb067ee6c4 | Baremetal Node     | b155a087-a8ee-48df-ad4c-cd767f17f7f8 | None              | XXX   | UP    | ironic-neutron-agent      |
| b24dd128-1137-4572-acdb-563ee3dfbf27 | Baremetal Node     | 9d4819ca-892a-4ac4-8d86-49778f8cbb39 | None              | XXX   | UP    | ironic-neutron-agent      |
